c-barq N,question,c-barq(s) N,question,c-barq(RU) N,question
1,"When off the leash, returns immediately when called.",,,1,"Будучи спущенной с поводка, сразу возвращается на зов."
2,"Obeys the ""sit"" command immediately.",27,"Obeys a ""sit"" command immediately.",2,Сразу выполняет команду сидеть.
3,"Obeys the ""stay"" command immediately.",28,"Obeys a ""stay"" command immediately.",3,Сразу выполняет команду жди.
4,Seems to attend/listen closely to everything you say or do.,,,4,"Кажется, внимательно слушает всё, что вы скажете, и следит за каждым вашим движением."
5,"Slow to respond to correction or punishment; ""thick-skinned"".",,,5,Одёргивание поводком или окрик не приводят к быстрой реакции; «толстокожая».
6,Slow to learn new tricks or tasks.,,,6,Медленно учится новым командам и осваивает новые навыки.
7,"Easily distracted by interesting sights, sounds, or smells.",29,"Easily distracted by interesting sights, sounds or smells.",7,"Легко отвлекается на новые объекты, звуки или запахи."
8,"Will ""fetch"" or attempt to fetch sticks, balls, or objects.",,,8,"Приносит или пытается принести брошенные вами палки, мячи или другие предметы."
9,"When verbally corrected or punished (scolded, shouted at, etc.) by you or a household member.",,,9,"Когда вы или члены вашей семьи одёргиваете поводком или делаете резкое замечание собаке (ругаетесь, кричите, и т.д.)."
10,When approached directly by an unfamiliar adult while being walked/exercised on a leash.,3,When approached directly by an unfamiliar person while being walked/exercised on a leash.,10,"Когда к вам приближается незнакомый взрослый человек, в то время как собака на поводке и вы гуляете или занимаетесь с ней на улице."
11,When approached directly by an unfamiliar child while being walked/exercised on a leash.,,,11,"Когда к вам приближается незнакомый ребёнок, в то время как собака на поводке и вы гуляете или занимаетесь с ней на улице."
12,"Toward unfamiliar persons approaching the dog while s/he is in your car (at the gas station, for example).",,,12,"По отношению к незнакомым людям, приближающимся к собаке, когда она находится в вашей машине (например, на заправочной станции)."
13,"When toys, bones or other objects are taken away by a household member.",4,"When toys, bones or other objects are taken away by a household member.",13,"Когда вы или кто-нибудь из членов вашей семьи забирает у собаки игрушки, кости или другие предметы."
14,When bathed or groomed by a household member.,,,14,Когда вы или кто-нибудь из членов семьи купает или расчёсывает собаку.
15,When an unfamiliar person approaches you or another member of your family at home.,,,15,"При приближении к вам или другим членам вашей семьи незнакомого собаке человека, когда вы находитесь дома."
16,When unfamiliar persons approach you or another member of your family away from your home.,,,16,"При приближении незнакомца к вам или другим членам вашей семьи, когда вы вне вашего дома и находитесь не прямо рядом с домом."
17,When approached directly by a household member while s/he is eating.,5,When approached directly by a household member while s/he (the dog) is eating.,17,"Если вы или члены вашей семьи подходят к собаке, когда она ест."
18,When mailmen or other delivery workers approach your home.,6,When mailmen or other delivery workers approach your home.,18,"При приближении к вашему дому почтальона, работника службы доставки или другого незнакомого человека, который регулярно бывает у вашего дома."
19,When his/her food is taken away by a household member.,7,When his/her food is taken away by a household member.,19,Когда вы или кто-нибудь из членов вашей семьи пытается забрать еду у собаки.
20,When strangers walk past your home while your dog is outside or in the yard.,9,When strangers walk past your home when your dog is outside or in the yard.,20,"Когда незнакомые люди проходят мимо вашего дома, в то время как ваша собака поблизости от дома или в саду."
21,When an unfamiliar person tries to touch or pet the dog.,,,21,Когда незнакомый человек пытается дотронуться до собаки или погладить её.
22,"When joggers, cyclists, rollerbladers or skateboarders pass your home while your dog is outside or in the yard.",,,22,"Когда мимо вашего дома пробегают люди, проезжают велосипедисты, люди на роликовых коньках или скейтбордах, и ваша собака в это время находится поблизости от дома или в саду."
23,When approached directly by an unfamiliar male dog while being walked/exercised on a leash.,8,When approached directly by an unfamiliar dog while being walked/exercised on a leash.,23,"Когда собака на поводке, и вы гуляете или занимаетесь с ней на улице, а к вам приближается незнакомый кобель."
24,When approached directly by an unfamiliar female dog while being walked/exercised on a leash.,8,When approached directly by an unfamiliar dog while being walked/exercised on a leash.,24,"Когда собака на поводке, и вы гуляете или занимаетесь с ней на улице, а к вам приближается незнакомая сука."
25,When stared at directly by a member of the household.,,,25,Когда вы или кто-нибудь из членов семьи пристально смотрит на собаку.
26,Toward unfamiliar dogs visiting your home.,,,26,"По отношению к незнакомой собаке, хозяину которой вы открыли дверь или которую привели в гости в ваш дом."
27,"Toward cats, squirrels or other animals entering your yard.",,,27,"По отношению к кошкам, белкам и другим мелким животным, попавшим в ваш сад."
28,Toward unfamiliar persons visiting your home.,,,28,"По отношению к человеку, незнакомому вашей собаке, которому вы открыли дверь или который зашёл к вам в гости."
29,"When barked, growled, or lunged at by another (unfamiliar) dog.",10,"When barked, growled, or lunged at by another (unfamiliar) dog.",29,"Когда другая (незнакомая) собака лает, рычит и бросается."
30,When stepped over by a member of the household.,,,30,Когда вы или кто-нибудь из членов семьи перешагнули через собаку.
31,When you or a household member retrieves food or objects stolen by the dog.,,,31,"Когда вы или кто-нибудь из членов вашей семьи забирает еду или вещь, украденные собакой."
32,Towards another (familiar) dog in your household.,,,32,По отношению к другой (знакомой) собаке в вашей семье.
33,When approached at a favorite resting/sleeping place by another (familiar) household dog.,,,33,"Когда другая (знакомая) собака, которая тоже живёт у вас, приближается к его или её любимому месту отдыха или сна."
34,When approached while eating by another (familiar) household dog.,11,When approached while eating by another (familiar) household dog (leave blank if no other dogs).,34,"Когда во время еды приближается другая (знакомая) собака, которая тоже живёт у вас."
35,"When approached while playing with/chewing a favorite toy, bone, object, etc., by another (familiar) household dog.",12,"When approached while playing with/chewing a favorite toy, bone, object, etc., by another (familiar) household dog (leave blank if no other dogs).",35,"Если собака играет или грызёт любимую игрушку, кость или другой предмет, и в это время подходит другая (знакомая) собака из вашей семьи."
36,When approached directly by an unfamiliar adult while away from your home.,13,When approached directly by an unfamiliar person while away from your home.,36,"При приближении незнакомого взрослого человека, когда собака вне вашего дома, но и не прямо рядом с домом."
37,When approached directly by an unfamiliar child while away from your home.,,,37,"При приближении незнакомого ребёнка, когда собака вне вашего дома, но и не прямо рядом с домом."
38,"In response to sudden or loud noises (e.g. vacuum cleaner, car backfire, road drills, objects being dropped, etc.).",14,"In response to sudden or loud noises (e.g. thunder, vacuum cleaner, car backfire, road drills, objects being dropped, etc.).",38,"В ответ на внезапные или громкие звуки (например, шум пылесоса, звуки взрывов в выхлопной трубе автомобиля или мотоцикла, грохот дорожных работ, падающих предметов и т. д.)."
39,When unfamiliar persons visit your home.,,,39,"Когда вы открываете дверь человеку, незнакомому вашей собаке, или он заходит к вам в гости."
40,When an unfamiliar person tries to touch or pet the dog.,15,When an unfamiliar person tries to touch or pet the dog.,40,Когда незнакомый человек пытается дотронуться до собаки или погладить её.
41,In heavy traffic.,,,41,"В шумной и неспокойной обстановке (например, в толпе, при оживлённом дорожном движении и т.д.)."
42,"In response to strange or unfamiliar objects on or near the sidewalk (e.g. plastic trash bags, leaves, litter, flags flapping, etc.).",16,"In response to strange or unfamiliar objects on or near the sidewalk (e.g. plastic trash bags, leaves, litter, flags flapping, etc.).",42,"При обнаружении странных или незнакомых вещей во время прогулки, расположенных вдоль вашего маршрута или где-то рядом (например, пластиковые мешки для мусора, кучи листьев, хлам, развевающиеся флаги и т.д.)."
43,When examined/treated by a veterinarian.,,,43,Когда ветеринар проводит осмотр или выполняет процедуры.
44,"During thunderstorms, firework displays, or similar events.",,,44,"Во время грозы, фейерверков и других подобных событий или явлений."
45,When approached directly by an unfamiliar dog of the same or larger size.,17,When approached directly by an unfamiliar dog.,45,Когда подходит незнакомая собака таких же размеров или крупнее.
46,When approached directly by an unfamiliar dog of smaller size.,,,46,Когда подходит незнакомая собака меньшего размера.
47,"When first exposed to unfamiliar situations (e.g. first car trip, first time in elevator, first visit to veterinarian, etc.).",18,"When first exposed to unfamiliar situations (e.g. first car trip, first time in elevator, first visit to veterinarian, etc.).",47,"При первом столкновении с незнакомой ситуацией (например, первая поездка в автомобиле, впервые в лифте, первый визит к ветеринару и т. д.)."
48,In response to wind or wind-blown objects.,,,48,Когда дует ветер или когда он что-то сдувает и несёт по воздуху.
49,When having nails clipped by a household member.,20,When having nails clipped by a household member.,49,Когда вы или кто-то из членов семьи стрижёт собаке когти.
50,When groomed or bathed by a household member.,21,When groomed or bathed by a household member.,50,Когда вы или кто-нибудь из членов семьи расчёсывает или купает собаку.
51,When stepped over by a member of the household.,,,,
52,When having his/her feet toweled by a member of the household.,,,51,Когда вы или кто-нибудь из членов семьи вытирает собаке лапы.
